/home/nitta/Documents/Sam/22-01-2019PC6_2.5nm_step/R0.1B13.0ATP2000.0MD3000.0/
time,bmotors,vel
1.10000000000000,33,0.08134654985043
1.20000000000000,36,0.07506554397738
1.30000000000000,39,0.07228822304147
1.40000000000000,42,0.15567902630900
1.60000000000000,38,0.06215686482270
1.70000000000000,34,0.12453832807823
1.80000000000000,40,0.11015004898419
1.90000000000000,45,0.09935597153614
2.00000000000000,39,0.06332224462106
2.10000000000000,37,0.05905054192339
2.20000000000000,31,0.18716571787256
2.30000000000000,38,0.03319993999087
2.40000000000000,33,0.02058103962564
2.50000000000000,33,0.10110044830076
2.60000000000000,36,0.14635666706863
2.70000000000000,34,0.03831874350472
2.80000000000000,38,0.03956975337874
2.90000000000000,37,0.03913036091338
3.00000000000000,38,0.06660745280462
